month,rd_budget,corporate_support,tax_incentive,patent_count,employment,gdp_growth
1,2.75,1.93,0.62,43.7,11.5,2.64
2,2.43,1.65,0.82,43.6,11.5,2.52
3,2.82,1.53,0.83,48.5,11.8,2.44
4,3.26,2.04,0.74,44.9,9.2,3.2
5,2.38,2.21,0.87,46.1,9.2,3.1
6,2.38,2.17,0.98,43.8,12.5,3.37
7,3.29,1.46,1.28,41.0,10.4,2.61
8,2.88,1.68,0.93,41.1,11.4,2.93
9,2.27,1.93,0.95,46.0,11.6,2.75
10,2.77,2.19,0.89,45.4,10.3,3.7
11,2.27,1.61,0.52,43.1,9.8,2.37
12,2.27,1.73,0.89,46.5,11.1,2.93
13,2.62,1.36,0.91,45.1,10.5,2.47
14,1.54,1.32,1.39,36.1,10.1,2.76
15,1.64,2.13,0.86,43.5,8.4,2.7
16,2.22,2.34,0.96,41.6,8.8,2.84
17,1.99,1.77,0.89,40.6,9.7,2.77
18,2.66,2.2,0.67,44.3,13.3,3.18
19,2.05,1.94,1.13,34.4,9.4,2.86
20,1.79,1.54,1.05,39.9,12.3,3.75
21,3.23,1.94,1.06,42.8,12.8,3.22
22,2.39,2.42,0.72,41.9,10.1,3.07
23,2.53,1.79,1.18,39.9,10.7,2.63
24,1.79,2.43,0.62,40.4,15.3,2.16
25,2.23,0.75,1.02,41.6,8.4,2.42
26,2.56,2.13,1.34,48.0,11.9,2.51
27,1.92,1.83,0.7,39.8,10.4,2.44
28,2.69,1.68,0.79,41.5,11.4,2.59
29,2.2,1.84,0.92,45.7,11.9,2.11
30,2.35,1.0,0.8,41.3,9.7,2.88
31,2.2,1.71,0.59,39.5,10.7,2.85
32,3.43,1.94,0.91,42.1,7.8,2.88
33,2.49,2.39,0.69,40.3,9.8,3.39
34,1.97,1.59,0.99,41.7,9.2,2.91
35,2.91,1.48,0.72,47.7,13.3,2.35
36,1.89,1.6,1.21,39.7,12.4,2.41
37,2.6,2.17,0.74,46.6,11.6,2.57
38,1.52,1.93,0.84,41.3,5.7,2.29
39,1.84,1.59,1.06,38.7,9.5,3.1
40,2.6,2.01,0.65,39.5,10.4,2.86
41,2.87,1.84,0.95,43.8,8.4,3.2
42,2.59,2.19,1.16,42.0,9.7,2.98
43,2.44,1.52,0.58,38.7,10.1,2.74
44,2.35,1.67,0.94,38.0,11.6,2.92
45,1.76,1.64,0.95,47.3,8.6,3.24
46,2.14,1.21,1.06,37.1,10.5,2.79
47,2.27,1.92,0.65,42.9,9.7,2.68
48,3.03,1.9,0.64,39.9,9.1,3.15
49,2.67,1.8,1.0,41.7,10.0,3.07
50,1.62,1.71,0.96,39.9,12.3,2.77
